Start... Grid search and Cross validation

LogisticRegression
params                                                                mean_test_score(%)
------------------------------------------------------------------  --------------------
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}                     61.1879
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}                    64.0957
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'uniform'}                     61.5869
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}                    63.6525
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 23, 'weights': 'uniform'}                     62.4291
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 23, 'weights': 'distance'}                    64.078
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 24, 'weights': 'uniform'}                     62.4379
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 24, 'weights': 'distance'}                    62.3936
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}                     62.4291
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'distance'}                    62.4113
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 26, 'weights': 'uniform'}                     62.4379
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 26, 'weights': 'distance'}                    62.8369
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 27, 'weights': 'uniform'}                     64.5301
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 27, 'weights': 'distance'}                    62.4202
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}                     62.8812
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}                    64.1046
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 29, 'weights': 'uniform'}                     62.4468
{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 29, 'weights': 'distance'}                    62.8457
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'uniform'}                      56.1082
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'distance'}                     56.1082
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'uniform'}                      56.9238
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'distance'}                     56.1082
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}                      60.328
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'}                     59.8936
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'uniform'}                      60.7535
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 4, 'weights': 'distance'}                     59.8936
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}                      62.4291
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}                     62.4113
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}                      60.3014
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}                     60.3369
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'uniform'}                      62.8457
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'}                     62.8369
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 8, 'weights': 'uniform'}                      62.8457
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 8, 'weights': 'distance'}                     62.4113
